model,domain,gamma,prompt_index,cluster_id,trial_index,trial_seed,acceptance_rate_pos2plus,mean_accepted_prefix,mean_accepted_beyond_first,emitted_tokens_per_round,rounds_per_100_tokens,verification_rounds,position_1_survival,decode_seconds
H8,WikiText-103 test OOD,8,28,13,3,10328122,0.3333333333333333,3.125,2.125,4.0,25.0,8.0,1.0,0.09955974800050171
H8,WikiText-103 test OOD,8,29,13,0,10029122,0.4523809523809524,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.08688081099990086
H8,WikiText-103 test OOD,8,29,13,1,10129122,0.30357142857142855,3.125,2.125,4.0,25.0,8.0,1.0,0.10361517500041373
H8,WikiText-103 test OOD,8,29,13,2,10229122,0.30612244897959184,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.10732728699986183
H8,WikiText-103 test OOD,8,29,13,3,10329122,0.4418604651162791,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.08853714399992896
H8,WikiText-103 test OOD,8,30,13,0,10030122,0.25862068965517243,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11335774100007256
H8,WikiText-103 test OOD,8,30,13,1,10130122,0.4,3.5714285714285716,2.5714285714285716,4.571428571428571,21.875,7.0,1.0,0.09230513199963752
H8,WikiText-103 test OOD,8,30,13,2,10230122,0.28846153846153844,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.10869861699939065
H8,WikiText-103 test OOD,8,30,13,3,10330122,0.26229508196721313,2.6666666666666665,1.7777777777777777,3.5555555555555554,28.125,9.0,0.8888888888888888,0.11547565399996529
H8,WikiText-103 test OOD,8,31,14,0,10031122,0.2631578947368421,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11279741799990006
H8,WikiText-103 test OOD,8,31,14,1,10131122,0.4318181818181818,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.08858442500059027
H8,WikiText-103 test OOD,8,31,14,2,10231122,0.6,4.333333333333333,3.5,5.333333333333333,18.75,6.0,0.8333333333333334,0.07489655500012304
H8,WikiText-103 test OOD,8,31,14,3,10331122,0.4318181818181818,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.08747897000012017
H8,WikiText-103 test OOD,8,32,15,0,10032122,0.23636363636363636,2.3,1.3,3.2,31.25,10.0,1.0,0.11813409099977434
H8,WikiText-103 test OOD,8,32,15,1,10132122,0.14925373134328357,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.13433263600018108
H8,WikiText-103 test OOD,8,32,15,2,10232122,0.16176470588235295,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.13381645099980233
H8,WikiText-103 test OOD,8,32,15,3,10332122,0.18461538461538463,2.2,1.2,3.2,31.25,10.0,1.0,0.1308163660005448
H8,WikiText-103 test OOD,8,33,15,0,10033122,0.37777777777777777,3.125,2.125,4.0,25.0,8.0,1.0,0.10418201700031204
H8,WikiText-103 test OOD,8,33,15,1,10133122,0.1267605633802817,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.15206313599992427
H8,WikiText-103 test OOD,8,33,15,2,10233122,0.20634920634920634,2.3,1.3,3.2,31.25,10.0,1.0,0.12875561999953788
H8,WikiText-103 test OOD,8,33,15,3,10333122,0.1111111111111111,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.15599814699999115
H8,WikiText-103 test OOD,8,34,16,0,10034122,0.2631578947368421,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.115211611999257
H8,WikiText-103 test OOD,8,34,16,1,10134122,0.19047619047619047,2.2,1.2,3.2,31.25,10.0,1.0,0.12778385500041622
H8,WikiText-103 test OOD,8,34,16,2,10234122,0.2830188679245283,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.11281398400024045
