model,domain,gamma,prompt_index,cluster_id,trial_index,position,drafted_rounds,reached_rounds,accepted_tokens
H1,TinyStories validation,2,18,18,1,2,12.0,12.0,7.0
H1,TinyStories validation,2,18,18,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,18,18,2,2,12.0,12.0,9.0
H1,TinyStories validation,2,18,18,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,18,18,3,2,12.0,12.0,9.0
H1,TinyStories validation,2,19,19,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,19,19,0,2,11.0,11.0,9.0
H1,TinyStories validation,2,19,19,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,19,19,1,2,11.0,11.0,9.0
H1,TinyStories validation,2,19,19,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,19,19,2,2,12.0,12.0,9.0
H1,TinyStories validation,2,19,19,3,1,12.0,12.0,11.0
H1,TinyStories validation,2,19,19,3,2,12.0,11.0,9.0
H1,TinyStories validation,2,20,20,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,20,20,0,2,12.0,12.0,9.0
H1,TinyStories validation,2,20,20,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,20,20,1,2,12.0,12.0,8.0
H1,TinyStories validation,2,20,20,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,20,20,2,2,11.0,11.0,9.0
H1,TinyStories validation,2,20,20,3,1,11.0,11.0,11.0
H1,TinyStories validation,2,20,20,3,2,11.0,11.0,10.0
H1,TinyStories validation,2,21,21,0,1,13.0,13.0,12.0
H1,TinyStories validation,2,21,21,0,2,13.0,12.0,8.0
H1,TinyStories validation,2,21,21,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,21,21,1,2,12.0,12.0,8.0
H1,TinyStories validation,2,21,21,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,21,21,2,2,11.0,11.0,9.0
H1,TinyStories validation,2,21,21,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,21,21,3,2,11.0,11.0,9.0
H1,TinyStories validation,2,22,22,0,1,12.0,12.0,11.0
H1,TinyStories validation,2,22,22,0,2,12.0,11.0,10.0
H1,TinyStories validation,2,22,22,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,22,22,1,2,12.0,12.0,9.0
H1,TinyStories validation,2,22,22,2,1,13.0,13.0,13.0
H1,TinyStories validation,2,22,22,2,2,12.0,12.0,7.0
H1,TinyStories validation,2,22,22,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,22,22,3,2,11.0,11.0,9.0
H1,TinyStories validation,2,23,23,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,23,23,0,2,11.0,11.0,9.0
H1,TinyStories validation,2,23,23,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,23,23,1,2,12.0,12.0,8.0
H1,TinyStories validation,2,23,23,2,1,13.0,13.0,13.0
H1,TinyStories validation,2,23,23,2,2,12.0,12.0,7.0
H1,TinyStories validation,2,23,23,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,23,23,3,2,12.0,12.0,8.0
H1,TinyStories validation,2,24,24,0,1,13.0,13.0,13.0
H1,TinyStories validation,2,24,24,0,2,12.0,12.0,7.0
H1,TinyStories validation,2,24,24,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,24,24,1,2,11.0,11.0,9.0
H1,TinyStories validation,2,24,24,2,1,13.0,13.0,13.0
H1,TinyStories validation,2,24,24,2,2,12.0,12.0,7.0
H1,TinyStories validation,2,24,24,3,1,13.0,13.0,13.0
H1,TinyStories validation,2,24,24,3,2,13.0,13.0,7.0
H1,TinyStories validation,2,25,25,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,25,25,0,2,11.0,11.0,9.0
H1,TinyStories validation,2,25,25,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,25,25,1,2,11.0,11.0,9.0
H1,TinyStories validation,2,25,25,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,25,25,2,2,12.0,12.0,8.0
H1,TinyStories validation,2,25,25,3,1,13.0,13.0,13.0
H1,TinyStories validation,2,25,25,3,2,12.0,12.0,7.0
H1,TinyStories validation,2,26,26,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,26,26,0,2,12.0,12.0,8.0
H1,TinyStories validation,2,26,26,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,26,26,1,2,12.0,12.0,8.0
H1,TinyStories validation,2,26,26,2,1,11.0,11.0,11.0
H1,TinyStories validation,2,26,26,2,2,11.0,11.0,11.0
H1,TinyStories validation,2,26,26,3,1,13.0,13.0,13.0
H1,TinyStories validation,2,26,26,3,2,12.0,12.0,7.0
H1,TinyStories validation,2,27,27,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,27,27,0,2,12.0,12.0,9.0
H1,TinyStories validation,2,27,27,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,27,27,1,2,12.0,12.0,8.0
H1,TinyStories validation,2,27,27,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,27,27,2,2,12.0,12.0,9.0
H1,TinyStories validation,2,27,27,3,1,11.0,11.0,11.0
H1,TinyStories validation,2,27,27,3,2,11.0,11.0,11.0
H1,TinyStories validation,2,28,28,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,28,28,0,2,11.0,11.0,9.0
H1,TinyStories validation,2,28,28,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,28,28,1,2,11.0,11.0,9.0
H1,TinyStories validation,2,28,28,2,1,11.0,11.0,11.0
H1,TinyStories validation,2,28,28,2,2,11.0,11.0,11.0
H1,TinyStories validation,2,28,28,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,28,28,3,2,11.0,11.0,9.0
H1,TinyStories validation,2,29,29,0,1,13.0,13.0,13.0
H1,TinyStories validation,2,29,29,0,2,13.0,13.0,7.0
