domain,gamma,cluster_id,prompts_in_cluster,accepted_prefix_improvement,accepted_beyond_first_improvement,acceptance_rate_improvement,emitted_tokens_improvement,verification_round_reduction
TinyStories validation,2,38,1,-0.04356060606060602,-0.04356060606060608,-0.04356060606060608,0.0,0.0
TinyStories validation,2,39,1,0.03205128205128205,0.051282051282051294,0.04006410256410256,0.05128205128205121,0.78125
TinyStories validation,2,40,1,-0.12121212121212122,-0.12121212121212122,-0.13825757575757577,-0.12121212121212133,-1.5625
TinyStories validation,2,41,1,-0.14393939393939398,-0.14393939393939392,-0.14393939393939392,-0.16317016317016309,-2.34375
TinyStories validation,2,42,1,-0.09265734265734266,-0.09265734265734266,-0.09265734265734266,-0.11188811188811187,-1.5625
TinyStories validation,2,43,1,-0.062208624708624705,-0.04297785547785546,-0.018939393939393923,-0.10256410256410242,-1.5625
TinyStories validation,2,44,1,-0.1856060606060606,-0.1856060606060606,-0.13446969696969693,-0.181818181818182,-2.34375
TinyStories validation,2,45,1,-0.03205128205128205,-0.012820512820512803,0.0,-0.05128205128205121,-0.78125
TinyStories validation,2,46,1,-0.033945221445221385,-0.03394522144522147,-0.03394522144522147,0.009324009324009452,0.0
TinyStories validation,2,47,1,0.09265734265734266,0.09265734265734266,0.08143939393939392,0.11188811188811187,1.5625
TinyStories validation,2,48,1,0.0,0.0,0.02826340326340329,0.0,0.0
TinyStories validation,2,49,1,-0.17759324009324007,-0.15996503496503495,-0.1359265734265734,-0.2144522144522143,-3.125
TinyStories validation,2,50,1,0.023809523809523836,0.062499999999999986,0.021540959040959026,0.06060606060606066,0.78125
TinyStories validation,2,51,1,-0.11538461538461536,-0.11538461538461539,-0.12121212121212122,-0.11188811188811187,-1.5625
TinyStories validation,2,52,1,-0.19682400932400934,-0.1968240093240093,-0.17438811188811185,-0.2144522144522143,-3.125
TinyStories validation,2,53,1,-0.1006701631701632,-0.10067016317016317,-0.11771561771561773,-0.06060606060606066,-0.78125
TinyStories validation,2,54,1,-0.05128205128205132,-0.051282051282051266,-0.027368464868464837,-0.05128205128205121,-0.78125
TinyStories validation,2,55,1,0.022727272727272707,0.022727272727272735,0.022727272727272735,0.0,0.0
TinyStories validation,2,56,1,-0.03977272727272729,-0.039772727272727265,-0.022727272727272707,-0.06060606060606066,-0.78125
TinyStories validation,2,57,1,0.11349067599067597,0.07342657342657341,0.07342657342657341,0.11188811188811187,1.5625
TinyStories validation,2,58,1,-0.07211538461538464,-0.07211538461538461,-0.07794289044289043,-0.05128205128205121,-0.78125
TinyStories validation,2,59,1,-0.12310606060606061,-0.12310606060606061,-0.08901515151515149,-0.12121212121212133,-1.5625
TinyStories validation,2,60,1,-0.21765734265734266,-0.20002913752913754,-0.21008158508158511,-0.2144522144522143,-3.125
TinyStories validation,2,61,1,-0.13621794871794868,-0.11538461538461539,-0.12121212121212122,-0.11188811188811187,-1.5625
TinyStories validation,2,62,1,-0.2253787878787879,-0.22537878787878787,-0.2312062937062937,-0.22377622377622375,-3.125
TinyStories validation,2,63,1,-0.011217948717948734,-0.011217948717948706,2.7755575615628914e-17,-0.05128205128205121,-0.78125
TinyStories validation,2,64,1,-0.07182400932400934,-0.09265734265734266,-0.08143939393939392,-0.11188811188811187,-1.5625
TinyStories validation,2,65,1,-0.017045454545454586,-0.01704545454545453,-0.01704545454545453,-0.06060606060606066,-0.78125
TinyStories validation,2,66,1,-0.23093573093573094,-0.21010239760239757,-0.2543706293706294,-0.2071262071262071,-3.125
TinyStories validation,2,67,1,-0.07182400932400934,-0.07182400932400931,-0.04356060606060602,-0.11188811188811187,-1.5625
