domain,gamma,prompt_index,cluster_id,trial_index,trial_seed,acceptance_rate_pos2plus_H1,mean_accepted_prefix_H1,mean_accepted_beyond_first_H1,emitted_tokens_per_round_H1,rounds_per_100_tokens_H1,verification_rounds_H1,position_1_survival_H1,decode_seconds_H1,acceptance_rate_pos2plus_H8,mean_accepted_prefix_H8,mean_accepted_beyond_first_H8,emitted_tokens_per_round_H8,rounds_per_100_tokens_H8,verification_rounds_H8,position_1_survival_H8,decode_seconds_H8,accepted_prefix_improvement,accepted_beyond_first_improvement,acceptance_rate_improvement,emitted_tokens_improvement,verification_round_reduction
WikiText-103 test OOD,4,30,13,2,10230082,0.7083333333333334,3.125,2.125,4.0,25.0,8.0,1.0,0.08448805500029266,0.42857142857142855,2.2,1.2,3.2,31.25,10.0,1.0,0.10407508899970708,-0.9249999999999998,-0.925,-0.2797619047619048,-0.7999999999999998,-6.25
WikiText-103 test OOD,4,30,13,3,10330082,0.6666666666666666,3.0,2.0,4.0,25.0,8.0,1.0,0.08444433300064702,0.56,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.09517722399959894,-0.44444444444444464,-0.4444444444444444,-0.10666666666666658,-0.44444444444444464,-3.125
WikiText-103 test OOD,4,31,14,0,10031082,0.41379310344827586,2.0,1.0909090909090908,2.909090909090909,34.375,11.0,0.9090909090909091,0.11181373600084044,0.5185185185185185,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.0960223739994035,0.5555555555555554,0.46464646464646475,0.10472541507024263,0.6464646464646462,6.25
WikiText-103 test OOD,4,31,14,1,10131082,0.43333333333333335,2.3,1.3,3.2,31.25,10.0,1.0,0.10587235399998463,0.3225806451612903,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.13395748700077093,-0.39090909090909065,-0.390909090909091,-0.11075268817204303,-0.290909090909091,-3.125
WikiText-103 test OOD,4,31,14,2,10231082,0.4482758620689655,2.3,1.3,3.2,31.25,10.0,1.0,0.10446310400038783,0.5185185185185185,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.09703197599992563,0.25555555555555554,0.25555555555555554,0.07024265644955296,0.3555555555555552,3.125
WikiText-103 test OOD,4,31,14,3,10331082,0.5185185185185185,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.09477701299965702,0.5185185185185185,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.09528716900058498,0.0,0.0,0.0,0.0,0.0
WikiText-103 test OOD,4,32,15,0,10032082,0.23529411764705882,1.6666666666666667,0.6666666666666666,2.6666666666666665,37.5,12.0,1.0,0.12520636600038415,0.6,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09533047600052669,0.9999999999999998,1.0,0.36470588235294116,0.8888888888888888,9.375
WikiText-103 test OOD,4,32,15,1,10132082,0.28125,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.12189672299973608,0.43333333333333335,2.3,1.3,3.2,31.25,10.0,1.0,0.10517068399985874,0.5499999999999998,0.55,0.15208333333333335,0.5333333333333337,6.25
WikiText-103 test OOD,4,32,15,2,10232082,0.64,2.6666666666666665,1.7777777777777777,3.5555555555555554,28.125,9.0,0.8888888888888888,0.09228950099986832,0.48148148148148145,2.3,1.3,3.2,31.25,10.0,1.0,0.10308752799937793,-0.3666666666666667,-0.47777777777777763,-0.15851851851851856,-0.3555555555555552,-3.125
WikiText-103 test OOD,4,32,15,3,10332082,0.3125,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.11492062499928579,0.6666666666666666,3.0,2.0,4.0,25.0,8.0,1.0,0.08462175499971636,1.0909090909090908,1.0909090909090908,0.35416666666666663,1.0909090909090908,9.375
